@id,@lat,@lon,name,ele,wikidata,wikipedia
21634385,47.6935146,12.9866190,Berchtesgadener Hochthron,1972,Q317811,de:Berchtesgadener Hochthron
21634651,47.5756849,13.0203822,Jenner,1874,Q315611,de:Jenner (Berg)
26862546,47.6531721,11.4655437,Benediktenwand,1800,Q456783,de:Benediktenwand
26862641,47.6330700,11.6793681,Buchstein,1701,Q31557989,
26863047,47.3973362,11.2223256,Große Arnspitze,2196,Q1548141,de:Große Arnspitze
26863128,47.6125791,11.2806617,Heimgarten,1791,Q315930,de:Heimgarten (Berg)
26863152,47.7331803,12.6966651,Hinterer Rauschberg,1671,,
26863171,47.7505749,12.5157850,Hochgern,1748,Q1515760,de:Hochgern
26863176,47.5693262,12.8658126,Hochkalter,2608,Q883041,
26863307,47.7559873,12.3682524,Kampenwand-Ostgipfel,1664,,
26863335,47.6863663,12.8927162,Karkopf,1739,Q584978,
26863431,47.5068832,11.0472646,Kramerspitz,1985,Q885415,
26863440,47.5443752,11.1914281,Krottenkopf,2086,Q565442,
26864394,47.6988381,12.8267449,Rabensteinhorn Nordgipfel,1318,,
26864452,47.6368812,11.8035474,Risserkogel,1826,Q315932,de:Risserkogel
26864487,47.6502104,11.9344203,Rotwand,1884,Q458097,
26864552,47.6010850,11.8611348,Österreichischer Schinder,1808,Q165212,de:Schinder (Berg)
26864777,47.5857802,11.4677249,Staffel,1532,Q1507853,de:Staffel (Berg)
26865134,47.7034761,12.0120518,Wendelstein,1838,Q819671,de:Wendelstein (Berg)
26865140,47.6811906,12.1382447,Wildbarren,1448,Q2570414,
27236490,48.0692044,11.5768294,Perlacher Mugl,587,Q30602681,de:Perlacher Mugl
27257372,47.7126605,12.2943687,Schachenberg,1076,Q31523854,
27384190,47.4212150,10.9862970,Zugspitze,2962,Q3375,de:Zugspitze
48783387,47.7471510,12.2487348,Hochries,1569,Q1533425,de:Hochries
48783390,47.7260968,12.1843387,Heuberg,1338,Q1616384,de:Heuberg (Chiemgauer Alpen)
48783748,47.7005164,12.1835401,Kranzhorn,1368,Q1439810,de:Kranzhorn
48783878,47.7084725,12.1068813,Großer Riesenkopf,1337,Q1548935,de:Großer Riesenkopf
49898914,47.7344547,12.2310292,Feichteck,1514,Q30274699,
57802156,47.8009644,11.0132328,Hoher Peißenberg,988,Q896781,de:Hoher Peißenberg
60054360,47.6317889,12.9340820,Götschenkopf,,Q30670793,
61080195,47.4513588,11.2286303,Hoher Kranzberg,1391,Q177064,
67233894,47.4815666,11.3571077,Soiernspitze,2253,Q316066,de:Soiernspitze
71530342,47.6134565,11.3084925,Herzogstand,1731,Q315270,de:Herzogstand
96874625,47.6607583,11.6961076,Hirschberg,1670,Q1620367,de:Hirschberg (Kreuth)
97173084,47.6641902,11.5247915,Brauneck,1555,Q180647,de:Brauneck
158712415,48.1698523,11.5516289,Olympiaberg,564,,
173883540,47.5943452,12.9654528,Grünstein,1304,Q1552351,de:Grünstein (Watzmann)
173898902,47.6581505,13.0178961,Kneifelspitze,1189,Q1263150,
191018794,47.6655995,11.7053909,Kratzer,1545,,
253348578,47.7666080,12.1768349,Dandlberg,910,Q31549886,
254887423,47.5400783,12.9931194,Warteck,1741,,
256041673,47.4004814,11.1239474,Leutascher Dreitorspitze,2682,Q585796,de:Dreitorspitze
